Job Title,Company,Location,Salary,Experience,Posted Date,Job URL,Salary_num,City
Social Media Manager And Personal Assistant,Dr Prasun Chatterjee,"Delhi,Noida,Gurgaon","₹ 2,00,000 - 2,20,000",0,3,https://internshala.com/job/detail/fresher-social-media-manager-and-personal-assistant-job-in-multiple-locations-at-dr-prasun-chatterjee1765955987,2.0,Delhi
Administration Associate,Touchstone Educationals,Chandigarh,"₹ 2,00,000 - 2,20,000",0,2,https://internshala.com/job/detail/fresher-administration-associate-job-in-chandigarh-at-touchstone-educationals1766562914,2.0,Chandigarh
Teacher,Freedom Employability Academy,"Araria,Purnia","₹ 2,00,000 - 2,10,000",0,2,https://internshala.com/job/detail/fresher-teacher-job-in-multiple-locations-at-freedom-employability-academy1766397556,2.0,Araria
Junior Company Secretary (CS),Scientific Games,Work from home,"₹ 2,00,000 - 2,00,001",0,0,https://internshala.com/job/detail/fresher-remote-junior-company-secretary-cs-job-at-scientific-games1767792950,2.0,Work from home
International Voice Process Executive,Invensis Technologies,Bangalore,"₹ 2,00,000",0,1,https://internshala.com/job/detail/fresher-international-voice-process-executive-job-in-bangalore-at-invensis-technologies1766728806,2.0,Bangalore
Chief Financial Officer,Aces Global Consulting Pvt Ltd,Faridabad,"₹ 50,00,000 - 70,00,000",20,6,https://internshala.com/job/detail/chief-financial-officer-job-in-faridabad-at-aces-global-consulting-pvt-ltd1767313811,50.0,Faridabad
Intensivist,Spandana Hospital,Bangalore,"₹ 30,00,000 - 48,00,000",4,1,https://internshala.com/job/detail/intensivist-job-in-bangalore-at-spandana-hospital1767141043,30.0,Bangalore
Head Of Artificial Intelligence,DISHHA STAFFING SERVICES PVT LTD,Bangalore,"₹ 25,00,000 - 50,00,000",10,1,https://internshala.com/job/detail/head-of-artificial-intelligence-job-in-bangalore-at-dishha-staffing-services-pvt-ltd1766881811,25.0,Bangalore
ML/AI Applied Engineer  Contrails AI,Expertia AI,Bangalore,"₹ 25,00,000 - 45,00,000",0,3,https://internshala.com/job/detail/fresher-ml-ai-applied-engineer-contrails-ai-job-in-bangalore-at-expertia-ai1763598697,25.0,Bangalore
Behaviour Counsellor For Diabetes,HumLife360,Work from home,"₹ 24,12,000 - 36,24,000",1,1,https://internshala.com/job/detail/remote-behaviour-counsellor-for-diabetes-job-at-humlife3601767094580,24.0,Work from home
Azure Dotnet Developer,Kiash Solutions LLP,"Hyderabad,Chennai,Bangalore","₹ 20,00,000 - 25,00,000",6,3,https://internshala.com/job/detail/azure-dotnet-developer-job-in-multiple-locations-at-kiash-solutions-llp1763598790,20.0,Hyderabad
Junior Machine Learning Engineer,"Lantern (New York, United States)",Work from home,"₹ 20,00,000 - 21,60,000",1,3,https://internshala.com/job/detail/remote-junior-machine-learning-engineer-job-at-lantern1765446136,20.0,Work from home
Field Sales Associate,Lenn Chartered & Co,"Chennai,Gandhinagar,Gulbarga,Kolkata,Latur,Pune,Thiruvananthapuram,Hyderabad,Mumbai,Nagpur,Bangalore,Punjab,Andhra Pradesh,Gujarat,Madhya Pradesh","₹ 19,00,000 - 31,01,000",1,2,https://internshala.com/job/detail/part-time-field-sales-associate-job-in-multiple-locations-at-lenn-chartered-co1767608433,19.0,Chennai
Junior Business Development Executive,Mulberry Solutions LLP,"Navi Mumbai,Mumbai(Hybrid)","₹ 18,00,000 - 36,00,000",0,1,https://internshala.com/job/detail/fresher-junior-business-development-executive-job-in-multiple-locations-at-mulberry-solutions-llp1767694272,18.0,Navi Mumbai
Artificial Intelligence (AI) Specialist,QuickHyre,"Chennai,Pune,Hyderabad,Bangalore","₹ 18,00,000 - 25,00,000",1,3,https://internshala.com/job/detail/artificial-intelligence-ai-specialist-job-in-multiple-locations-at-quickhyre1765610194,18.0,Chennai
Technical Sales Executive,Digital Heroes,Lucknow(Hybrid),"₹ 17,00,000 - 25,00,000",1,3,https://internshala.com/job/detail/technical-sales-executive-job-in-lucknow-at-digital-heroes1765602867,17.0,Lucknow(Hybrid)
Sales Manager,Digital Heroes,Lucknow,"₹ 15,00,015 - 20,00,015",1,3,https://internshala.com/job/detail/sales-manager-job-in-lucknow-at-digital-heroes1765602593,15.0,Lucknow
Business Development Specialist,Sammunat LLC,Work from home,"₹ 15,00,000 - 20,00,000",1,3,https://internshala.com/job/detail/remote-business-development-specialist-job-at-sammunat-llc1765955118,15.0,Work from home
Process Excellence (Black Belt),Kiash Solutions LLP,Vadodara,"₹ 15,00,000 - 17,50,000",7,3,https://internshala.com/job/detail/process-excellence-black-belt-job-in-vadodara-at-kiash-solutions-llp1763598643,15.0,Vadodara
Full Stack Developer (dotnet Angular + Ionic),ALIQAN Technologies,Work from home,"₹ 14,40,000 - 18,00,000",7,3,https://internshala.com/job/detail/remote-full-stack-developer-dotnet-angular-ionic-job-at-aliqan-technologies1763598800,14.0,Work from home
PeopleSoft Technical (HRMS) Consultant,ALIQAN Technologies,Work from home,"₹ 14,40,000 - 18,00,000",10,3,https://internshala.com/job/detail/remote-peoplesoft-technical-hrms-consultant-job-at-aliqan-technologies1763598721,14.0,Work from home
Full Stack React Native Developer,Wo Health Pvt Ltd,Delhi(Hybrid),"₹ 12,00,000 - 25,00,000",0,3,https://internshala.com/job/detail/fresher-full-stack-react-native-developer-job-in-delhi-at-wo-health-pvt-ltd1765278463,12.0,Delhi(Hybrid)
Senior Copywriter,Axureone,Mumbai,"₹ 12,00,000 - 20,00,004",6,2,https://internshala.com/job/detail/senior-copywriter-job-in-mumbai-at-axureone1766622691,12.0,Mumbai
Manager Operations,Sir H.N. Reliance Foundation Hospital & Research Centre,Mumbai,"₹ 12,00,000 - 20,00,000",8,1,https://internshala.com/job/detail/manager-operations-job-in-mumbai-at-sir-hn-reliance-foundation-hospital-research-centre1767745815,12.0,Mumbai
